"","GB_Acession","Original","Access..No","Museum","Added.to.Database","Website","Family","Genus","Species","Endemic","Locality","Latitude","Longitude","SpecName"
"123","AF129462","FMNH_NA",NA,"FMNH",NA,NA,"Sylviidae","Acrocephalus","newtoni",NA,NA,NA,NA,"Acrocephalus_newtoni_AF129462_FMNH_NA_CYTB"
"124","AF129463","FMNH_NA",NA,"FMNH",NA,NA,"Sylviidae","Acrocephalus","newtoni",NA,NA,NA,NA,"Acrocephalus_newtoni_AF129463_FMNH_NA_CYTB"
"125","MG990982","FMNH_395989","395989","FMNH",NA,NA,"Vangidae","Newtonia","amphichroa",NA,NA,NA,NA,"Newtonia_amphichroa_MG990982_FMNH_395989_CYTB"
"126","MG990978","FMNH_384721","384721","FMNH",NA,NA,"Vangidae","Newtonia","amphichroa",NA,NA,NA,NA,"Newtonia_amphichroa_MG990978_FMNH_384721_CYTB"
"127","MG990977","FMNH_363858","363858","FMNH",NA,NA,"Vangidae","Newtonia","amphichroa",NA,NA,NA,NA,"Newtonia_amphichroa_MG990977_FMNH_363858_CYTB"
"129","U90640","NA_NA",NA,NA,NA,NA,"Phasianidae","Margaroperdix","madagarensis",NA,NA,NA,NA,"Margaroperdix_madagarensis_U90640_NA_NA_CYTB"
"130","JQ239230","PBZT_uncatalogued","uncatalogued","PBZT",NA,NA,"Vangidae","Xenopirostris","damii",NA,NA,NA,NA,"Xenopirostris_damii_JQ239230_PBZT_uncatalogued_CYTB"
"131","MG990951","MJR_1079","1079","MJR",NA,NA,"Vangidae","Newtonia","amphichroa",NA,NA,NA,NA,"Newtonia_amphichroa_MG990951_MJR_1079_CYTB"
"132","MG990958","MJR_375","375","MJR",NA,NA,"Vangidae","Newtonia","amphichroa",NA,NA,NA,NA,"Newtonia_amphichroa_MG990958_MJR_375_CYTB"
"133","MG990992","MJR_394","394","MJR",NA,NA,"Vangidae","Newtonia","amphichroa",NA,NA,NA,NA,"Newtonia_amphichroa_MG990992_MJR_394_CYTB"
"134","MH307540","L563_","","L563",NA,NA,"Columbidae","Nesoenas","picturatus",NA,NA,NA,NA,"Nesoenas_picturatus_MH307540_L563__CYTB"
"135","MG990959","MJR_418","418","MJR",NA,NA,"Vangidae","Newtonia","amphichroa",NA,NA,NA,NA,"Newtonia_amphichroa_MG990959_MJR_418_CYTB"
"136","MG990979","FMNH_384791","384791","FMNH",NA,NA,"Vangidae","Newtonia","amphichroa",NA,NA,NA,NA,"Newtonia_amphichroa_MG990979_FMNH_384791_CYTB"
"137","MK433176","MNHN_1973-547","1973-547","MNHN",NA,NA,"Accipitrinae","Accipiter","henstii",NA,NA,NA,NA,"Accipiter_henstii_MK433176_MNHN_1973-547_CYTB"
"138","MK433177","MNHN_1932-3790","1932-3790","MNHN",NA,NA,"Accipitrinae","Accipiter","henstii",NA,NA,NA,NA,"Accipiter_henstii_MK433177_MNHN_1932-3790_CYTB"
"139","MK433178","MNHN_1932-3789","1932-3789","MNHN",NA,NA,"Accipitrinae","Accipiter","henstii",NA,NA,NA,NA,"Accipiter_henstii_MK433178_MNHN_1932-3789_CYTB"
"140","MK433179","MNHN_1932-717","1932-717","MNHN",NA,NA,"Accipitrinae","Accipiter","henstii",NA,NA,NA,NA,"Accipiter_henstii_MK433179_MNHN_1932-717_CYTB"
"141","MK433180","NHRM_572219","572219","NHRM",NA,NA,"Accipitrinae","Accipiter","henstii",NA,NA,NA,NA,"Accipiter_henstii_MK433180_NHRM_572219_CYTB"
