,GB_Acession,Original,Access..No,Museum,Added.to.Database,Website,Family,Genus,Species,Endemic,Locality,Latitude,Longitude,SpecName
143,JQ239291,FMNH_345780,345780,FMNH,NA,NA,Vangidae,Calicalicus,madagascariensis,NA,NA,NA,NA,Calicalicus_madagascariensis_JQ239291_FMNH_345780_COI
144,JQ239295,FMNH_356689,356689,FMNH,NA,NA,Vangidae,Euryceros,prevostii,NA,NA,NA,NA,Euryceros_prevostii_JQ239295_FMNH_356689_COI
145,JQ239296,FMNH_356673,356673,FMNH,NA,NA,Vangidae,Falculea,palliata,NA,NA,NA,NA,Falculea_palliata_JQ239296_FMNH_356673_COI
146,JQ239300,FMNH_356681,356681,FMNH,NA,NA,Vangidae,Leptopterus,chabert,NA,NA,NA,NA,Leptopterus_chabert_JQ239300_FMNH_356681_COI
147,JQ239301,FMNH_345861,345861,FMNH,NA,NA,Timaliidae,Mystacornis,crossleyi,NA,NA,NA,NA,Mystacornis_crossleyi_JQ239301_FMNH_345861_COI
148,JQ239302,FMNH_345885,345885,FMNH,NA,NA,Vangidae,Newtonia,brunneicauda,NA,NA,NA,NA,Newtonia_brunneicauda_JQ239302_FMNH_345885_COI
149,JQ239303,FMNH_356684,356684,FMNH,NA,NA,Vangidae,Oriolia,bernieri,NA,NA,NA,NA,Oriolia_bernieri_JQ239303_FMNH_356684_COI
150,JQ239305,ANSP_16104,16104,ANSP,NA,NA,Prionopidae,Philentoma,pyrhoptera,NA,NA,NA,NA,Philentoma_pyrhoptera_JQ239305_ANSP_16104_COI
151,JQ239306,FMNH_346536,346536,FMNH,NA,NA,Platysteiridae,Platysteira,peltata,NA,NA,NA,NA,Platysteira_peltata_JQ239306_FMNH_346536_COI
153,JQ239308,FMNH_356702,356702,FMNH,NA,NA,Platysteiridae,Pseudobias,wardi,NA,NA,NA,NA,Pseudobias_wardi_JQ239308_FMNH_356702_COI
154,JQ239310,FMNH_356657,356657,FMNH,NA,NA,Vangidae,Schetba,rufa,NA,NA,NA,NA,Schetba_rufa_JQ239310_FMNH_356657_COI
155,JQ239313,FMNH_356649,356649,FMNH,NA,NA,Vangidae,Tylas,eduardi,NA,NA,NA,NA,Tylas_eduardi_JQ239313_FMNH_356649_COI
156,JQ239314,FMNH_356661,356661,FMNH,NA,NA,Vangidae,Vanga,curvirostris,NA,NA,NA,NA,Vanga_curvirostris_JQ239314_FMNH_356661_COI
157,JQ239317,FMNH_356664,356664,FMNH,NA,NA,Vangidae,Xenopirostris,xenopirostris,NA,NA,NA,NA,Xenopirostris_xenopirostris_JQ239317_FMNH_356664_COI
158,JF792344,RMCA_A9038A0001,A9038A0001,RMCA,NA,NA,Accipitridae,Accipiter,francesiae,NA,NA,NA,NA,Accipiter_francesiae_JF792344_RMCA_A9038A0001_COI
159,JF792345,RMCA_A9038A0002,A9038A0002,RMCA,NA,NA,Accipitridae,Accipiter,francesiae,NA,NA,NA,NA,Accipiter_francesiae_JF792345_RMCA_A9038A0002_COI
160,JF792346,RMCA_A9038A0003,A9038A0003,RMCA,NA,NA,Accipitridae,Accipiter,francesiae,NA,NA,NA,NA,Accipiter_francesiae_JF792346_RMCA_A9038A0003_COI
161,JF792347,RMCA_A9038A0004,A9038A0004,RMCA,NA,NA,Accipitridae,Accipiter,francesiae,NA,NA,NA,NA,Accipiter_francesiae_JF792347_RMCA_A9038A0004_COI
162,JF792348,RMCA_A9038A0005,A9038A0005,RMCA,NA,NA,Accipitridae,Accipiter,francesiae,NA,NA,NA,NA,Accipiter_francesiae_JF792348_RMCA_A9038A0005_COI
163,JF792349,RMCA_A9038A0006,A9038A0006,RMCA,NA,NA,Accipitridae,Accipiter,francesiae,NA,NA,NA,NA,Accipiter_francesiae_JF792349_RMCA_A9038A0006_COI
164,JF792350,RMCA_A9038A0007,A9038A0007,RMCA,NA,NA,Accipitridae,Accipiter,francesiae,NA,NA,NA,NA,Accipiter_francesiae_JF792350_RMCA_A9038A0007_COI
165,EF484172,FMNH_384699,384699,FMNH,NA,NA,Sturnidae,Hartlaubius,auratus,NA,NA,NA,NA,Hartlaubius_auratus_EF484172_FMNH_384699_COI
